,years,state,labor.pop
637,2009,Maine,697698
638,2010,Maine,697832
639,2011,Maine,698979
640,2012,Maine,700730
641,2013,Maine,704240
642,2014,Maine,698035
643,2015,Maine,687859
644,2016,Maine,693917
645,2017,Maine,699532
646,2018,Maine,698266
647,1985,Maryland,2278294
648,1986,Maryland,2350842
649,1987,Maryland,2406952
650,1988,Maryland,2458361
651,1989,Maryland,2507844
652,1990,Maryland,2574511
653,1991,Maryland,2616219
654,1992,Maryland,2655427
655,1993,Maryland,2661634
656,1994,Maryland,2689237
657,1995,Maryland,2712757
658,1996,Maryland,2749092
659,1997,Maryland,2771027
660,1998,Maryland,2763123
661,1999,Maryland,2770084
662,2000,Maryland,2801391
663,2001,Maryland,2836279
664,2002,Maryland,2872367
665,2003,Maryland,2881024
666,2004,Maryland,2885111
667,2005,Maryland,2931581
668,2006,Maryland,2984444
669,2007,Maryland,2989317
670,2008,Maryland,3027934
671,2009,Maryland,3049869
672,2010,Maryland,3078368
673,2011,Maryland,3097300
674,2012,Maryland,3120947
675,2013,Maryland,3128908
676,2014,Maryland,3125017
677,2015,Maryland,3139988
678,2016,Maryland,3155918
679,2017,Maryland,3202702
680,2018,Maryland,3215107
681,1985,Massachusetts,3053401
682,1986,Massachusetts,3067544
683,1987,Massachusetts,3102943
684,1988,Massachusetts,3153105
685,1989,Massachusetts,3186592
686,1990,Massachusetts,3233071
687,1991,Massachusetts,3184304
688,1992,Massachusetts,3184569
689,1993,Massachusetts,3187638
690,1994,Massachusetts,3196893
691,1995,Massachusetts,3203588
692,1996,Massachusetts,3236058
693,1997,Massachusetts,3305601
694,1998,Massachusetts,3331560
695,1999,Massachusetts,3358739
696,2000,Massachusetts,3340566
697,2001,Massachusetts,3386892
698,2002,Massachusetts,3436864
699,2003,Massachusetts,3418989
700,2004,Massachusetts,3400830
701,2005,Massachusetts,3385536
702,2006,Massachusetts,3411688
703,2007,Massachusetts,3433239
704,2008,Massachusetts,3465906
705,2009,Massachusetts,3470431
706,2010,Massachusetts,3479304
707,2011,Massachusetts,3484135
708,2012,Massachusetts,3506457
709,2013,Massachusetts,3516689
710,2014,Massachusetts,3569557
711,2015,Massachusetts,3589409
712,2016,Massachusetts,3617498
713,2017,Massachusetts,3682039
714,2018,Massachusetts,3763163
715,1985,Michigan,4359727
716,1986,Michigan,4401700
717,1987,Michigan,4506324
718,1988,Michigan,4548841
719,1989,Michigan,4608840
720,1990,Michigan,4614499
721,1991,Michigan,4596908
722,1992,Michigan,4671377
723,1993,Michigan,4723170
724,1994,Michigan,4802150
725,1995,Michigan,4830790
726,1996,Michigan,4893169
727,1997,Michigan,4961910
728,1998,Michigan,5019951
729,1999,Michigan,5102445
730,2000,Michigan,5156695
731,2001,Michigan,5138844
732,2002,Michigan,5034722
733,2003,Michigan,5036119
734,2004,Michigan,5056148
735,2005,Michigan,5069602
736,2006,Michigan,5056734
737,2007,Michigan,4994841
738,2008,Michigan,4915781
739,2009,Michigan,4860036
740,2010,Michigan,4754799
741,2011,Michigan,4668979
742,2012,Michigan,4685462
743,2013,Michigan,4736919
744,2014,Michigan,4759720
745,2015,Michigan,4760207
746,2016,Michigan,4848638
747,2017,Michigan,4887347
748,2018,Michigan,4917708
749,1985,Minnesota,2235179
750,1986,Minnesota,2253043
751,1987,Minnesota,2286883
752,1988,Minnesota,2312775
753,1989,Minnesota,2340609
754,1990,Minnesota,2397175
755,1991,Minnesota,2429956
756,1992,Minnesota,2464739
757,1993,Minnesota,2514127
758,1994,Minnesota,2580734
759,1995,Minnesota,2626976
760,1996,Minnesota,2664152
761,1997,Minnesota,2686557
762,1998,Minnesota,2716371
763,1999,Minnesota,2746980
764,2000,Minnesota,2799111
765,2001,Minnesota,2847955
766,2002,Minnesota,2873004
767,2003,Minnesota,2893369
768,2004,Minnesota,2893478
769,2005,Minnesota,2880908
770,2006,Minnesota,2889613
771,2007,Minnesota,2898861
772,2008,Minnesota,2914133
773,2009,Minnesota,2932056
774,2010,Minnesota,2940696
775,2011,Minnesota,2952527
776,2012,Minnesota,2949770
777,2013,Minnesota,2961729
