,years,state,,
611,2017,Louisiana,43565,43.6
612,2018,Louisiana,49973,50
613,1985,Maine,20519,20.5
614,1986,Maine,23424,23.4
615,1987,Maine,23600,23.6
616,1988,Maine,26402,26.4
617,1989,Maine,28221,28.2
618,1990,Maine,27464,27.5
619,1991,Maine,27868,27.9
620,1992,Maine,29617,29.6
621,1993,Maine,27438,27.4
622,1994,Maine,30316,30.3
623,1995,Maine,33858,33.9
624,1996,Maine,34696,34.7
625,1997,Maine,32772,32.8
626,1998,Maine,35640,35.6
627,1999,Maine,38862,38.9
628,2000,Maine,37266,37.3
629,2001,Maine,36612,36.6
630,2002,Maine,36853,36.9
631,2003,Maine,37113,37.1
632,2004,Maine,41329,41.3
633,2005,Maine,43923,43.9
634,2006,Maine,45642,45.6
635,2007,Maine,47894,47.9
636,2008,Maine,47228,47.2
637,2009,Maine,47502,47.5
638,2010,Maine,47931,47.9
639,2011,Maine,49693,49.7
640,2012,Maine,49158,49.2
641,2013,Maine,54957,55
642,2014,Maine,51710,51.7
643,2015,Maine,50756,50.8
644,2016,Maine,50856,50.9
645,2017,Maine,53316,53.3
646,2018,Maine,58663,58.7
647,1985,Maryland,30136,30.1
648,1986,Maryland,30604,30.6
649,1987,Maryland,34970,35
650,1988,Maryland,36552,36.6
651,1989,Maryland,36016,36
652,1990,Maryland,38857,38.9
653,1991,Maryland,36952,37
654,1992,Maryland,37203,37.2
655,1993,Maryland,39939,39.9
656,1994,Maryland,39198,39.2
657,1995,Maryland,41041,41
658,1996,Maryland,43993,44
659,1997,Maryland,46685,46.7
660,1998,Maryland,50016,50
661,1999,Maryland,52205,52.2
662,2000,Maryland,54535,54.5
663,2001,Maryland,53530,53.5
664,2002,Maryland,56407,56.4
665,2003,Maryland,52314,52.3
666,2004,Maryland,57103,57.1
667,2005,Maryland,60512,60.5
668,2006,Maryland,63668,63.7
669,2007,Maryland,65630,65.6
670,2008,Maryland,63711,63.7
671,2009,Maryland,64186,64.2
672,2010,Maryland,64201,64.2
673,2011,Maryland,68876,68.9
674,2012,Maryland,71836,71.8
675,2013,Maryland,69353,69.4
676,2014,Maryland,76165,76.2
677,2015,Maryland,73594,73.6
678,2016,Maryland,73760,73.8
679,2017,Maryland,82093,82.1
680,2018,Maryland,86223,86.2
681,1985,Massachusetts,28207,28.2
